»Àø⁄,∆Ωæ˘ƒÍ¡‰,∆Ωæ˘ ’»Î,µÍ√Ê¿‡–Õ,‘¬æ˘œ˙ €∂Ó
32200,41,8.3252,…Ã≥°µÍ,452600
240100,21,8.3014,…Ã≥°µÍ,358500
49600,52,7.2574,…Ã≥°µÍ,352100
55800,52,5.6431,…Ã≥°µÍ,341300
56500,52,3.8462,…Ã≥°µÍ,342200
41300,52,4.0368,…Ã≥°µÍ,269700
109400,52,3.6591,…Ã≥°µÍ,299200
115700,52,3.12,…Ã≥°µÍ,241400
120600,42,2.0804,…Ã≥°µÍ,226700
155100,52,3.6912,…Ã≥°µÍ,261100
91000,52,3.2031,…Ã≥°µÍ,281500
150400,52,3.2705,…Ã≥°µÍ,241800
109800,52,3.075,…Ã≥°µÍ,213500
34500,52,2.6736,…Ã≥°µÍ,191300
121200,52,1.9167,…Ã≥°µÍ,159200
69700,50,2.125,…Ã≥°µÍ,140000
79300,52,2.775,…Ã≥°µÍ,152500
64800,52,2.1202,…Ã≥°µÍ,155500
99000,50,1.9911,…Ã≥°µÍ,158700
69000,52,2.6033,…Ã≥°µÍ,162900
40900,40,1.3578,…Ã≥°µÍ,147500
92900,42,1.7135,…Ã≥°µÍ,159800
101500,52,1.725,…Ã≥°µÍ,113900
85300,52,2.1806,…Ã≥°µÍ,99700
100600,52,2.6,…Ã≥°µÍ,132600
31700,41,2.4038,…Ã≥°µÍ,107500
60700,49,2.4597,…Ã≥°µÍ,93800
110200,52,1.808,…Ã≥°µÍ,105500
113100,50,1.6424,…Ã≥°µÍ,108900
39500,52,1.6875,…Ã≥°µÍ,132000
86300,49,1.9274,…Ã≥°µÍ,122300
116800,52,1.9615,…Ã≥°µÍ,115200
102600,48,1.7969,…Ã≥°µÍ,110400
75400,49,1.375,…Ã≥°µÍ,104900
125800,51,2.7303,…Ã≥°µÍ,109700
57000,49,1.4861,…Ã≥°µÍ,97200
98700,48,1.0972,…Ã≥°µÍ,104500
90100,52,1.4103,…Ã≥°µÍ,103900
68900,52,3.48,…Ã≥°µÍ,191400
137700,52,2.5898,…Ã≥°µÍ,176000
94600,52,2.0978,…Ã≥°µÍ,155400
51700,51,1.2852,…Ã≥°µÍ,150000
46200,49,1.025,…Ã≥°µÍ,118800
46700,52,3.9643,…Ã≥°µÍ,188800
66000,52,3.0125,…Ã≥°µÍ,184400
71800,52,2.6768,…Ã≥°µÍ,182300
61600,50,2.026,…Ã≥°µÍ,142500
55800,43,1.7348,…Ã≥°µÍ,137500
42300,40,0.9506,…Ã≥°µÍ,187500
70000,40,1.775,…Ã≥°µÍ,112500
73500,21,0.9218,…Ã≥°µÍ,171900
106100,43,1.5045,…Ã≥°µÍ,93800
195900,41,1.1108,…Ã≥°µÍ,97500
116200,52,1.2475,…Ã≥°µÍ,104200
70100,52,1.6098,…Ã≥°µÍ,87500
57600,52,1.4113,…Ã≥°µÍ,83100
62200,52,1.5057,…Ã≥°µÍ,87500
72800,52,0.8172,…Ã≥°µÍ,85300
107400,52,1.2171,…Ã≥°µÍ,80300
55400,52,3.3929,…Ã≥°µÍ,75700
8600,49,6.1183,…Ã≥°µÍ,75000
37700,50,0.9011,…Ã≥°µÍ,86100
52100,52,1.191,…Ã≥°µÍ,76100
39200,48,2.5938,…Ã≥°µÍ,73500
60400,52,1.1667,…Ã≥°µÍ,78400
78800,48,0.8056,…Ã≥°µÍ,84400
49200,52,2.6094,…Ã≥°µÍ,81300
27400,52,1.8516,…Ã≥°µÍ,85000
182300,46,0.9802,…Ã≥°µÍ,129200
39200,26,1.7719,…Ã≥°µÍ,82500
58200,46,0.7286,…Ã≥°µÍ,95200
56000,49,1.75,…Ã≥°µÍ,75000
1800,46,0.4999,…Ã≥°µÍ,67500
